ticker,daily_volume,market_cap,avg_daily_returns,avg_anual_returns,avg_daily_volatility,avg_anual_volatility,sharpe_ratio,trynor_ratio,information_ratio,beta,dia_invertir
A,1570100.0,39218958336,0.0007150040601153003,0.19735701320956878,0.01850330124027705,0.29373080109291644,0.5517195084975272,0.1573203896368571,0.6718975758593954,1.0148526429289,0
AAL,20920560.0,9107004416,-0.0002736532704600167,-0.06664537712869456,0.03846749419064824,0.6106525391296627,-0.16694498195977864,-0.07358573175769344,-0.1091379677609814,1.4180110007234545,2
AAP,1790403.3333333333,6860349440,0.0003413696829655543,0.0898177498156314,0.021531695737815746,0.3418050733666192,0.15949953369228026,0.058602138642668444,0.2627747708100667,0.8893489388403355,4
AAPL,64353450.0,2494322442240,0.001247074416583405,0.36898140214366215,0.020882023767898373,0.3314918505695944,1.0066051445014577,0.2660412717942462,1.1130934335479148,1.2452255994320762,0
ABBV,6754833.333333333,279175168000,0.0007015871189476304,0.19331835821363508,0.017807055850533476,0.282678248176496,0.559004306956696,0.22881074489525585,0.6838812659293572,0.6801182273361921,0
ABC,1279576.6666666667,31956764672,0.0006272533760124355,0.17118762394154285,0.01873101290531022,0.2973456117107537,0.45700228484868,0.17284087312611496,0.5757193555224469,0.7723151447177795,0
ABT,5382153.333333333,168772321280,0.0005975147103297927,0.1624487132969077,0.016711623718381904,0.2652888021775622,0.47928413205999154,0.14307465129511499,0.6123466650815441,0.8719134533453656,0
ACGL,2675073.3333333335,24888059904,0.0008275021695450887,0.2317603370270811,0.020401666495017894,0.32386641526257676,0.6066091689927146,0.19373285475734522,0.7156047249887888,1.001690380654051,0
ACN,2677476.6666666665,182353592320,0.0006575234533531916,0.18014989448960161,0.017973126054660855,0.2853145309382887,0.507684953911203,0.12793077053980156,0.6314080600702621,1.1134920386122655,0
ADBE,3636923.3333333335,171232280576,0.0008429251467449063,0.23655298937006286,0.023558048745879648,0.3739724301332077,0.5381492675766961,0.15258961277817587,0.6325412525351227,1.3031882429581982,4
ADI,3656496.6666666665,92874612736,0.0008623376272666639,0.24261178034547548,0.021948122367902095,0.3484156411816982,0.5950128405325027,0.1625424580176259,0.6963286134991679,1.2606661843593818,0
ADM,3073673.3333333335,42923253760,0.0007624859300879118,0.21175925946611995,0.017208421429126538,0.2731752213447812,0.6459563155012743,0.21302290559938658,0.775177406002184,0.8170917534730179,0
ADP,2112530.0,88733474816,0.0007060465038758221,0.1946591771715147,0.017653002297599994,0.2802327238386085,0.5686672669366508,0.1505915055778352,0.694633997432872,1.0422844008979528,0
ADSK,1634636.6666666667,42370244608,0.0008097661400814485,0.22627177729833137,0.026093032754780976,0.4142140537236785,0.4610461078795949,0.1345712894585684,0.5462677455393073,1.4012779253065606,4
AEE,1286650.0,22159792128,0.0005106052325362207,0.13728026476170174,0.015900221403985712,0.2524081897548748,0.404029143668989,0.15473889431756346,0.5438819750461383,0.643537393755301,0
AEP,3150973.3333333335,45746216960,0.0003993384274913824,0.10584881195763951,0.014864103277166602,0.2359603244001781,0.2989859084868518,0.1266029771249869,0.4485873302077881,0.5382875940615569,0
AES,4533596.666666667,15340880896,0.0009406675751012151,0.26736102690272134,0.022682398207794687,0.3600719087781715,0.6444852298813638,0.2198430873917786,0.7425212030840032,1.0446588502164107,0
AFL,2636393.3333333335,38880161792,0.0005643126840270646,0.15276878399468186,0.01972211894269653,0.31307893229766687,0.3752050102272476,0.1178525420530791,0.4879561293809239,0.9763793125722865,0
AIG,6536523.333333333,35019231232,0.00026325466174681835,0.0685808333036273,0.02527967586091497,0.401302413313822,0.08293205373176113,0.0248795656047594,0.17089564136260624,1.2412127202783585,0
AIZ,452163.3333333333,6146762752,0.000370034880881959,0.09771587271794724,0.01888023337548245,0.2997144132383288,0.20825115496969773,0.07095526463690598,0.3260299418441545,0.8458269167913324,0
AJG,1071273.3333333333,39929270272,0.0010300422090888499,0.29620017764728734,0.01604003545378335,0.25462766898821887,1.0246340418698123,0.2949500777322797,1.163267836619091,0.8764201034790802,0
AKAM,2279783.3333333335,11967616000,0.0002958814157277274,0.07740038452642084,0.018958319805887892,0.30095399689205815,0.13988976707799233,0.05131829522067374,0.2571834410764835,0.77361074360918,4
ALB,1925063.3333333333,25589950464,0.0008890380510925139,0.25099352910174555,0.02988493699961252,0.4744086674868451,0.45465764831905503,0.1646906563157692,0.5290660696217262,1.2951161521439791,0
ALGN,965803.3333333334,23388360704,0.0008250248702364529,0.2309922488101701,0.034444681663512305,0.5467923700226409,0.35789133049180466,0.12301500996879004,0.42244965634872605,1.57128994956965,4
ALK,1588010.0,5077447168,-2.8469402048398522e-05,-0.007148716932062205,0.02932570228224213,0.46553109156679184,-0.09118341975655539,-0.03492331878033795,-0.015356046162249823,1.2842054678180332,2
ALL,2150126.6666666665,28002510848,0.00028594423414307407,0.07470654905402418,0.017634359754363442,0.2799367826393504,0.14076945759854873,0.04337494954834736,0.2668693565370811,0.8531779158100297,0
ALLE,937186.6666666666,9157540864,0.00041354361598070085,0.10981290699110913,0.018934037413883796,0.3005685258691744,0.24790655234321393,0.07011840696127344,0.36535065231316455,1.0284447424901888,3
AMAT,7076650.0,98371739648,0.0010912932031917348,0.316341029457857,0.029167062747641158,0.4630127670268487,0.6069833263184303,0.17161571013244054,0.683223124686567,1.6236335778514805,0
AMCR,8801223.333333334,16388152320,0.00029082265098248996,0.07602818249744292,0.018490573901978606,0.2935287608609796,0.13875363483284864,0.04813564426043444,0.25901442255415374,0.7962536512458636,0
